name	VT	intercept	coef_X2	MSE	SigmaSqr	LogLike	AIC	FPE	CoV
wm-lh-lateralorbitofrontal	2.0129465804759517	-59.45517654702943	0.033856540294413186	40011.06336651676	40011.01482536736	-106.47830555021915	218.9566111004383	720199.1405973017	0.026173502546432602
wm-lh-lingual	1.9682450878001403	-53.8264865923208	0.0365664789289989	51351.0043111764	51350.86304228499	-108.47453196680375	222.9490639336075	924318.0776011752	0.030368120634893195
wm-lh-medialorbitofrontal	1.9017764086988125	-56.43275443436027	0.03369986859157943	97720.38317593628	97720.18090458667	-113.62193803359509	233.24387606719017	1758966.897166853	0.043587958118639115
wm-lh-middletemporal	2.049873490633551	-57.90129262676206	0.035402896854950294	74829.60840664331	74829.27917327118	-111.48676349119273	228.97352698238547	1346932.9513195795	0.03535163589363866
wm-lh-parahippocampal	1.7370702000750677	-48.35125839578132	0.03592605979054783	156720.54758146382	156720.5468463965	-117.40077289957406	240.80154579914813	2820969.8564663487	0.06009912835461974
wm-lh-paracentral	1.7887019354924847	-51.533500080552194	0.03470949833984803	162473.1427537173	162472.93450557903	-117.68915918338654	241.37831836677307	2924516.5695669116	0.05737119776004654
wm-lh-parsopercularis	1.9651774397497725	-55.35849511575849	0.03549911238808875	107848.69102054702	107848.23264076913	-114.41088839876942	234.82177679753883	1941276.4383698462	0.0434990571055403
wm-lh-parsorbitalis	2.112556661977651	-55.818094895385705	0.0378471652595275	185807.22180902114	185807.04874015323	-118.76273538648263	243.52547077296526	3344529.99256238	0.05473263546306811
wm-lh-parstriangularis	2.039420834368493	-59.63268012118707	0.03419971784303388	137925.02317267866	137924.62487021837	-116.37873769268019	238.75747538536038	2482650.417108216	0.04784137737702812
wm-lh-pericalcarine	1.9544772819069893	-62.027188806988185	0.031510009070196514	47193.499989158125	47193.13443103416	-107.79910038548341	221.59820077096683	849482.9998048462	0.029975489794975486
wm-lh-postcentral	1.891052891901019	-51.49120780823847	0.03672574352778058	62552.62942394147	62552.50215291484	-110.05312291398296	226.10624582796592	1125947.3296309465	0.034834734910697954
wm-lh-posteriorcingulate	1.7958995982047943	-57.12412891536197	0.031438546763062084	206238.46241670413	206238.1954886618	-119.59732213968636	245.1946442793727	3712292.3235006747	0.0648264562008532
wm-lh-precentral	1.8505041287375357	-52.25939068925855	0.03540998286300131	41140.8637321934	41140.81591357761	-106.70107263244729	219.40214526489459	740535.5471794811	0.028341750606873856
wm-lh-precuneus	1.8710101955303735	-54.822258183323115	0.0341286597365946	63050.71594312021	63050.70461414848	-110.11657392353914	226.23314784707827	1134912.8869761638	0.03473044724953159
wm-lh-rostralanteriorcingulate	1.787471561496763	-58.31574834359858	0.03065160976696918	73499.21973242347	73499.21601491571	-111.34325703476937	228.68651406953873	1322985.9551836227	0.03892892633228872
wm-lh-rostralmiddlefrontal	2.0218222832389525	-56.74460853766862	0.03563020937745675	53133.44388323048	53133.15653015291	-108.74750582146976	223.49501164293952	956401.9898981487	0.03000208071935727
wm-lh-superiorfrontal	1.901420864448546	-54.07195418710568	0.035164641134830116	67268.12381265493	67267.90185633537	-110.63454731356029	227.26909462712058	1210826.2286277886	0.03550113372061549
wm-lh-superiorparietal	1.9000994604002026	-54.91460449140381	0.034600985985388265	41268.32435262172	41268.200165462746	-106.72581768086948	219.45163536173897	742829.8383471909	0.028172632653860826
wm-lh-superiortemporal	1.8920905571970037	-54.11670768833344	0.03496314979273773	75030.18126430319	75030.05434646204	-111.50818066714918	229.01636133429835	1350543.2627574576	0.037374153037397315
wm-lh-supramarginal	1.8835553750199634	-52.77127864248187	0.035692812898864765	28746.94650834412	28746.940251695636	-103.83331097106574	213.66662194213148	517445.0371501942	0.023180557254813716
wm-lh-frontalpole	2.0937630954737587	-53.586272063653695	0.03907275156194172	414830.9623509026	414830.95903501223	-125.18802769607565	256.37605539215133	7466957.322316247	0.08327726333283177
wm-lh-temporalpole	1.9410357726611451	-45.57341920972331	0.04259140100348266	314907.51286133484	314907.51282961585	-122.98329064902931	251.96658129805863	5668335.231504028	0.07479653030733051
wm-lh-transversetemporal	2.160663696913435	-52.125198941955716	0.04145142351052613	197272.27294307062	197272.2017828749	-119.24173736785092	244.48347473570183	3550900.912975271	0.05526366671554863
wm-lh-insula	1.8460217808224537	-49.42120202632734	0.03735283046816734	90280.74465731904	90280.67502980589	-112.98845159369338	231.97690318738677	1625053.4038317427	0.04179808907585301
wm-rh-bankssts	1.971235837258695	-60.44125158862718	0.032614080374695764	186513.13656534647	186512.15497236466	-118.79306689196034	243.58613378392067	3357236.4581762366	0.05788616954921232
wm-rh-caudalanteriorcingulate	1.6735060254243954	-52.76896056356536	0.0317138334269157	151848.3061200842	151848.26327819217	-117.14811477279235	240.2962295455847	2733269.510161516	0.0586092137981654
wm-rh-caudalmiddlefrontal	1.8178369143329847	-51.76184672977198	0.03511924379018369	65012.942555418755	65012.92605239304	-110.36174943978462	226.72349887956923	1170232.9659975376	0.03570066415034635
wm-rh-cuneus	2.0451936435990135	-54.86395058446618	0.03727754968082952	68053.66859615815	68053.3870803208	-110.72742773009277	227.45485546018554	1224966.0347308468	0.034719430313956794
wm-rh-entorhinal	1.7072464084092498	-45.201920997187784	0.03776933304483819	479427.2437373918	479427.24349926907	-126.34579595629796	258.6915919125959	8629690.387273053	0.10546710789953033
wm-rh-fusiform	1.9997164549642739	-61.36309108861688	0.03258826143677156	132893.1416256041	132892.48246024075	-116.08141667398321	238.16283334796643	2392076.549260874	0.04858672808082125
wm-rh-inferiorparietal	1.9014084282069192	-53.85703441554226	0.03530473686197255	48739.59574787299	48739.4330763037	-108.05698945848025	222.1139789169605	877312.7234617138	0.030294508148682578
